#{"t_start": 1774356949.395097, "env_id": "None"}
r,l,t
-0.999047,2,2.361789
-0.998882,2,2.930332
-1.0,1,3.232068
-0.983746,14,7.720643
-0.999004,2,8.465101
-0.996245,4,9.790839
-0.999042,4,11.053115
-0.998416,4,12.509182
-0.992935,6,14.4486
-0.997679,5,16.086936
-0.998047,4,17.488631
-0.988325,10,20.769819
-0.99848,2,21.46564
-0.99854,2,22.251479
-0.994113,5,23.83207
-0.998025,3,24.731283
-0.991926,9,27.534011
-1.0,1,27.858921
-1.0,1,28.152318
-0.996283,4,29.349479
-0.996144,4,30.49466
-0.997699,3,31.358049
-0.997561,3,32.293245
-1.0,1,32.634598
-0.999004,2,33.234263
-0.98363,14,37.223662
-0.987359,9,39.795335
-1.0,1,40.087538
-0.994778,5,41.456881
-0.998116,4,42.642146
-0.998694,3,43.460306
-1.0,1,43.738538
-0.997139,4,44.869966
-0.997322,3,45.682356
-0.999036,2,46.215554
-0.994072,5,47.644365
-0.997953,3,48.462991
-0.997362,4,49.519463
-0.991266,8,51.694155
-0.997131,3,52.550702
-0.994962,5,53.891487
-0.99326,7,55.771877
-0.999023,2,56.302597
-1.0,1,56.569197
-0.999,2,57.107641
-0.996923,4,58.225336
-0.995862,5,59.650131
-0.991709,8,61.832232
-0.997582,4,62.89763
-0.994668,6,64.561492
-0.993615,8,66.690871
-0.989779,9,69.229335
-0.994264,8,71.475985
-0.996568,4,72.608656
-0.997375,3,73.40192
-0.99695,3,74.290643
-0.996733,4,75.442375
-0.99251,8,77.568844
-0.99884,4,78.686645
-0.979939,15,82.853293
-0.997585,3,83.652394
-0.982051,16,88.038736
-0.994892,5,89.417209
-0.998402,2,89.982339
-0.992842,6,91.61763
-0.995866,4,92.704738
-0.994007,6,94.383504
-0.998951,3,95.235111
-0.983061,14,99.057173
-0.989073,9,101.552839
-0.988033,9,103.995269
-0.988224,9,106.485043
-0.992588,6,108.130169
-0.99894,4,109.26377
-0.992368,6,110.955227
-0.99456,5,112.329116
-1.0,1,112.60291
-1.0,1,112.891333
-0.997536,3,113.70845
-0.995559,4,114.84156
-0.9962,4,115.949338
-0.998205,3,116.744
-0.994647,5,118.131578
-0.991032,8,120.328822
-0.993678,8,122.509668
-0.998184,3,123.331645
-0.996952,3,124.143373
-0.998816,3,124.987775
-0.992557,7,126.865082
-0.993579,7,128.84379
-1.0,1,129.147312
-0.996885,3,129.980798
-0.998998,2,130.544306
-0.99856,2,131.108068
-0.997098,3,131.959202
-0.997642,3,132.79986
-1.0,1,133.091438
-0.993185,6,134.83112
-0.995846,4,135.970016
-0.999043,2,136.502376
-0.996062,5,137.848071
-0.997218,5,139.164008
-0.994348,6,140.856963
-0.998672,2,141.407636
-0.99842,2,141.945242
-0.988056,12,145.165031
-0.999004,2,145.702698
-0.996906,3,146.50717
-0.994129,6,148.093492
-0.992722,7,149.990317
-0.997777,3,150.782833
-0.998393,2,151.328333
-0.997979,3,152.149006
-0.996154,5,153.50413
-0.998128,3,154.339555
-1.0,1,154.628639
-0.995371,5,155.982543
-0.997311,4,157.036451
-0.998154,4,158.105885
-0.992867,11,161.059831
-0.998635,2,161.606399
-0.993598,6,163.198148
-0.996813,3,164.005881
-0.994396,6,165.626745
-0.987975,10,168.270795
-0.990346,8,170.409899
-0.992666,6,172.045528
-0.992363,6,173.636301
-0.994811,5,174.985111
-0.998639,8,177.184143
-0.996486,4,178.245376
-0.993684,6,179.867604
-0.993403,5,181.24913
-0.999009,3,182.084048
-0.998544,2,182.599057
-0.998032,4,183.72657
-0.991927,7,185.639812
-1.0,1,185.911735
-0.988811,9,188.352302
-0.998738,3,189.145354
-0.996596,4,190.247791
-0.997435,4,191.319557
-0.997351,3,192.130243
-0.99904,2,192.682817
-0.998388,2,193.220022
-0.998572,2,193.759944
-0.997989,3,194.568695
-0.989114,10,197.221179
-0.997262,3,198.039605
-0.999018,2,198.576046
-0.994772,5,199.936494
-1.0,1,200.205768
-0.996285,4,201.271727
-1.0,1,201.554497
-0.995933,4,202.631338
-0.995115,5,203.963729
-0.988605,10,206.654099
-0.997824,4,207.71456
-1.0,1,207.990455
-0.994395,5,209.328105
-0.987656,11,212.264037
-0.99351,8,214.382813
-1.0,1,214.66211
-0.998998,2,215.214626
-0.998505,3,215.993238
-0.99224,8,218.123001
-0.997508,3,218.996263
-1.0,1,219.278209
-0.987637,10,221.939806
-0.998571,2,222.457361
-0.994951,5,223.804542
-0.998411,3,224.606944
-0.998561,2,225.137851
-0.997453,3,225.943485
-1.0,1,226.225621
-0.99433,6,227.854657
-1.0,1,228.127226
-0.986469,11,231.065508
-1.0,1,231.345302
-0.994888,6,232.965631
-0.997459,3,233.769688
-0.998757,2,234.331725
-0.996359,4,235.432339
-0.994055,5,236.782606
-0.998999,2,237.333128
-0.998906,2,237.87768
-0.997927,3,238.703163
-0.998552,2,239.252752
-1.0,1,239.515263
-0.993624,5,240.845549
-0.998389,2,241.389233
-1.0,1,241.648774
-0.995799,5,242.979502
-0.998478,2,243.512626
-0.997173,3,244.319804
-0.995758,4,245.401609
-0.998512,2,245.934682
-0.998693,4,247.004898
-0.989646,8,249.175607
-0.999021,4,250.264365
-0.999008,2,250.83359
-0.997798,3,251.646434
-0.999008,2,252.182256
-0.996185,4,253.274873
-0.993134,7,255.163988
-0.995898,5,256.496125
-1.0,1,256.76989
-0.989262,9,259.158994
-0.997337,4,260.229856
-0.995635,5,261.581633
-0.99904,2,262.139686
-0.997281,4,263.194204
-0.989322,9,265.64296
-0.998034,3,266.455072
-0.99732,3,267.290263
-0.995883,4,268.37126
-0.998824,3,269.1706
-0.997299,3,269.973668
-0.998939,3,270.792791
-0.988366,10,273.490649
-1.0,1,273.758171
-0.998091,3,274.619858
-0.996822,4,275.690451
-0.988934,9,278.111488
-1.0,1,278.37619
-0.994222,7,280.298802
-0.985859,14,284.007898
-0.996312,4,285.075301
-0.998616,2,285.632458
-1.0,1,285.90174
-0.994156,5,287.252013
-0.998563,2,287.810196
-0.988793,11,290.748255
-0.989946,8,292.916997
-0.998476,2,293.463916
-0.99898,4,294.536488
-0.998493,3,295.372512
-0.989841,8,297.531192
-0.997938,4,298.60068
-1.0,1,298.893745
-0.997607,3,299.699273
-0.997359,3,300.512049
-0.996504,4,301.607545
-0.996773,4,302.688437
-0.997858,3,303.510393
-0.998137,5,304.862475
-1.0,1,305.126379
-1.0,1,305.391037
-0.99862,2,305.944184
-1.0,1,306.21057
-1.0,1,306.479707
-0.998485,2,307.010234
-0.989732,9,309.418442
-0.994141,5,310.764188
-0.997227,3,311.594555
-0.995761,4,312.700093
-0.997157,4,313.804313
-0.999047,2,314.362017
-0.998998,3,315.163124
-0.99844,2,315.694711
-0.984869,12,318.921129
-1.0,1,319.193045
-0.993829,6,320.806476
-0.992265,9,323.199886
-0.99532,5,324.553836
-0.999024,2,325.091223
-1.0,1,325.388974
-0.993963,10,328.052032
-0.997563,3,328.855299
-0.995396,7,330.742155
-0.998613,2,331.307547
-1.0,1,331.596037
-0.999003,3,332.408607
-1.0,1,332.676493
-0.998473,2,333.23958
-0.995727,4,334.307545
-0.992912,7,336.160119
-0.989807,8,338.33593
-0.995403,5,339.675365
-1.0,1,339.941756
-0.997342,3,340.73087
-0.995365,5,342.064224
-0.998906,2,342.616862
-0.998795,2,343.143868
-0.995338,4,344.230224
-1.0,1,344.517717
-0.996331,5,345.847949
-1.0,1,346.136935
-0.998998,2,346.669536
-0.99454,6,348.283342
-1.0,1,348.561654
-0.998892,3,349.38183
-0.996075,4,350.471755
-0.994485,5,351.819487
-1.0,1,352.097023
-0.995032,5,353.460674
-0.990817,7,355.339243
-0.992433,7,357.193299
-0.99904,2,357.731944
-0.993239,6,359.417546
-0.995982,4,360.489405
-0.992714,6,362.109529
-0.995419,5,363.44609
-0.997649,3,364.253376
-0.992746,6,365.874819
-0.996462,5,367.187644
-0.993924,7,369.083635
-0.991174,7,370.951083
-1.0,1,371.233913
-0.998993,3,372.034701
-0.996961,3,373.019824
-0.985237,12,376.21438
-0.993291,6,377.822887
-0.987917,10,380.447579
-0.996383,4,381.521973
-1.0,1,381.802575
-0.988167,9,384.244671
-0.998998,4,385.324731
-0.997805,3,386.123193
-0.993237,6,387.725274
-0.991802,7,389.62615
-0.998514,2,390.167127
-0.982619,16,394.407495
-1.0,1,394.674136
-0.998016,4,395.758424
-0.998754,2,396.294837
-0.998693,2,396.830365
-0.985453,12,400.157862
-0.998444,2,400.724536
-0.994634,6,402.303347
-0.994536,5,403.691551
-1.0,1,403.950739
-0.995858,4,405.0357
-0.995265,5,406.399109
-0.994533,5,407.753325
-1.0,1,408.016187
-0.991293,8,410.153367
-1.0,1,410.431728
-0.997667,3,411.222167
-0.997498,3,412.019257
-0.991191,8,414.163153
-0.997785,3,414.955088
-0.997258,4,416.002993
-0.995396,4,417.082685
-0.997616,3,417.910389
-1.0,1,418.209065
-0.998501,2,418.746415
-0.998331,3,419.576632
-0.994547,7,421.454374
-0.995848,5,422.787078
-0.998611,2,423.352155
-1.0,1,423.619159
-0.993944,6,425.222529
-0.995374,6,426.825906
-0.998306,3,427.643243
-0.997578,3,428.459209
-0.998783,3,429.278116
-0.994151,5,430.614424
-0.998891,2,431.141306
-0.995355,4,432.250006
-0.997109,4,433.319656
-0.999019,3,434.469731
-0.998615,2,435.013964
-1.0,1,435.295542
-1.0,1,435.596444
-0.995763,8,437.733666
-0.997892,3,438.55391
-0.996101,5,439.891451
-0.997256,3,440.743359
-0.995997,4,441.830836
-0.994133,6,443.498123
-0.987088,12,446.726907
-0.993475,6,448.361413
-0.99063,8,450.492468
-0.997605,3,451.282432
-1.0,1,451.549474
-0.993598,6,453.183202
-0.997464,3,454.000478
-1.0,1,454.278281
-0.995733,4,455.354342
-0.998509,2,455.906325
-0.990828,8,458.048201
-1.0,1,458.331992
-0.998594,2,458.867735
-0.997954,4,459.959335
-0.986205,12,463.153136
-1.0,1,463.434346
-0.998155,4,464.477226
-0.985345,13,467.958074
-0.998727,4,469.068362
-0.991834,7,470.950918
-1.0,1,471.22762
-0.998354,4,472.290031
-0.995779,5,473.633388
-0.996888,3,474.45551
-0.989709,9,476.830638
-0.994554,6,478.439322
-0.997481,4,479.543829
-0.998495,2,480.087746
-1.0,1,480.356011
-0.988839,10,483.027545
-0.991335,10,485.705779
-1.0,1,485.997683
-0.999019,2,486.53711
-0.997468,3,487.347493
-0.989952,8,489.478346
-0.998857,2,490.032303
-0.988965,9,492.467939
-1.0,1,492.744956
-1.0,1,493.019511
-0.994804,5,494.367402
-0.999023,2,494.929278
-0.990226,8,497.012877
-0.998507,2,497.547761
-0.998746,2,498.121212
-0.998468,2,498.657278
-0.994209,5,500.006053
-0.998532,2,500.551181
-0.993312,6,502.165352
-1.0,1,502.462008
-0.998499,2,503.024654
-0.985557,12,506.218094
-1.0,1,506.486187
-0.998213,4,507.538529
-0.996421,5,508.88647
-0.992866,6,510.495624
-0.996685,4,511.596303
-0.99685,3,512.420137
-0.991344,7,514.331962
-0.997916,3,515.142671
-0.997293,3,515.957742
-0.996244,4,517.047613
-0.998137,4,518.111742
-0.996739,3,518.942099
-0.990863,8,521.054075
-0.98739,10,523.709314
-0.996232,4,524.788755
-0.983922,13,528.260282
-0.99707,4,529.329056
-0.995777,4,530.394324
-0.997351,3,531.21473
-0.993458,6,532.832823
-0.996826,5,534.162855
-0.998404,2,534.70802
-0.99574,5,536.057425
-0.998411,2,536.602564
-0.994466,5,537.93822
-1.0,1,538.210398
-1.0,1,538.476192
-0.986368,10,541.210615
-0.999032,2,541.740721
-1.0,1,542.012573
-0.998541,2,542.564267
-0.988971,11,545.539326
-0.998724,2,546.071537
-0.996148,5,547.417207
-0.997139,3,548.221635
-0.995837,4,549.280984
-0.991634,10,551.976106
-0.995935,4,553.067152
-0.99162,7,554.957889
-0.988574,10,557.655502
-0.998121,3,558.441764
-0.997431,3,559.244901
-0.992945,8,561.398003
-0.995055,6,562.99192
-1.0,1,563.29113
-0.993942,6,564.901484
-0.996033,4,565.979637
-0.984526,12,569.138831
-0.99902,2,569.690824
-0.994184,5,571.066571
-0.989978,8,573.23406
-0.997083,3,574.04368
-0.999005,2,574.60313
-0.996597,4,575.686395
-0.998131,4,576.783394
-0.986026,11,579.710777
-0.997132,3,580.527071
-0.998877,3,581.33523
-0.992344,15,585.355295
-0.999023,2,585.910648
-0.992204,7,587.791693
-1.0,1,588.062129
-0.992924,8,590.239297
-0.996479,4,591.343544
-0.997258,4,592.452356
-0.998906,2,592.997703
-0.998987,3,593.811303
-0.996951,4,594.920181
-0.998178,3,595.752264
-0.995122,5,597.105731
-0.991242,8,599.250426
-0.999004,2,599.774559
-0.998375,3,600.597877
-1.0,1,600.888594
-0.999012,2,601.42779
-0.992694,7,603.313374
-0.997997,4,604.380119
-0.996944,4,605.485971
-0.992119,7,607.384315
-0.99522,5,608.732455
-0.99221,6,610.344728
-0.999017,4,611.444257
-0.986262,13,614.884452
-0.998602,2,615.410795
-0.998998,4,616.473549
-1.0,1,616.74421
-0.989956,9,619.137436
-0.996947,3,619.953323
-0.996377,4,621.013472
-0.997321,4,622.098428
-0.998404,2,622.653001
-0.996942,3,623.455431
-0.998275,3,624.277658
-0.992105,7,626.120535
-1.0,1,626.402294
-0.99888,2,626.953156
-0.98649,11,629.905415
-0.996006,4,630.971407
-0.990787,8,633.130171
-0.991453,8,635.290786
-0.997303,4,636.370847
-0.998584,2,636.921271
-0.998692,2,637.478394
-0.994973,5,638.824538
-0.995806,4,639.928807
-0.989292,9,642.335908
-0.999002,3,643.144818
-0.998037,4,644.200573
-0.988338,10,646.86836
-0.992418,6,648.488001
-0.993689,6,650.136156
-1.0,1,650.401706
-1.0,1,650.675057
-0.998181,4,651.768014
-0.992328,9,654.195448
-0.998272,4,655.276245
-0.998129,3,656.095159
-0.997701,3,656.881754
-0.99841,2,657.4402
-0.999019,2,657.990623
-0.998998,2,658.530392
-0.998469,2,659.092499
-0.990469,8,661.258956
-0.994261,5,662.565025
-0.995275,4,663.65055
-0.998998,2,664.215522
-1.0,1,664.479126
-0.995647,7,666.33077
-0.989358,10,669.004415
-1.0,1,669.286309
-0.997773,4,670.368269
-0.996698,5,671.716707
-1.0,1,671.998651
-0.972695,24,678.374189
-0.998402,2,678.906258
-0.997133,3,679.713794
-0.995343,5,681.049839
-0.995702,5,682.404839
-0.978473,19,687.579252
-0.995152,5,688.936668
-0.998609,2,689.505231
-0.993423,6,691.110816
-0.988773,10,693.789802
-0.999025,2,694.330815
-0.998587,2,694.873415
-0.998594,2,695.422662
-0.994068,7,697.2642
-0.99701,4,698.357478
-0.998899,2,698.896629
-0.995813,4,699.97916
-1.0,1,700.24226
-1.0,1,700.532625
-0.998606,4,701.600875
-0.993994,6,703.222269
-0.988702,11,706.186776
-0.997742,4,707.266284
-0.997117,3,708.107693
-1.0,1,708.389851
-0.997035,3,709.240722
-0.998895,3,710.036205
-0.99579,4,711.164148
-0.998111,4,712.263755
-0.998601,2,712.807942
-0.993307,6,714.432143
-1.0,1,714.712504
-0.998826,2,715.267961
-1.0,1,715.545921
-0.997366,3,716.35269
-0.998998,4,717.45087
-0.99787,4,718.531921
-0.994324,14,722.285302
-0.998801,3,723.09288
-0.995349,5,724.42909
-0.998486,2,724.964359
-0.991364,8,727.167152
-0.98305,15,731.178549
-0.998505,2,731.75233
-0.997623,3,732.551974
-0.99779,3,733.348839
-0.995521,4,734.446085
-0.991853,7,736.306214
-0.997451,3,737.143908
-0.993305,6,738.739531
-0.997183,4,739.812203
-0.99836,4,740.890802
-1.0,1,741.167795
-0.9958,4,742.241678
-0.990716,8,744.391801
-0.999031,2,744.935164
-1.0,1,745.211486
-0.99712,6,746.811472
-0.994049,6,748.426131
-0.994814,6,750.033385
-1.0,1,750.313674
-0.997785,4,751.392486
-0.992697,6,753.0072
-0.978629,19,758.176219
-0.99497,5,759.539412
-0.99627,4,760.621675
-0.989207,10,763.293402
-0.997436,3,764.105495
-0.998662,10,766.80723
-0.99342,7,768.710854
-0.996689,4,769.788341
-1.0,1,770.064429
-0.989864,8,772.218153
-0.994289,6,773.817991
-1.0,1,774.111094
-0.993595,6,775.708293
-0.99838,2,776.254462
-0.996961,3,777.046388
-0.993424,6,778.669875
-0.99795,4,779.721238
-0.999021,2,780.259493
-0.990606,8,782.389446
-0.996946,3,783.228919
-1.0,1,783.493652
-0.995475,5,784.854984
-1.0,1,785.138889
-0.990516,8,787.301367
-1.0,1,787.566824
-0.989549,10,790.23141
-0.99391,6,791.847038
-0.994581,5,793.195183
-0.997922,3,793.994298
-0.998573,2,794.531562
-0.997715,3,795.329949
-0.999036,2,795.862658
-0.99637,4,796.938839
-0.991493,7,798.815819
-0.998956,2,799.360171
-0.990104,9,801.781099
-1.0,1,802.053962
-0.991806,9,804.446114
-0.998423,2,804.992042
-0.998627,2,805.525499
-0.99902,2,806.081799
-0.998898,2,806.633792
-0.999009,2,807.194178
-0.996748,4,808.246511
-0.990744,8,810.408509
-0.991986,7,812.23436
-0.998534,2,812.798491
-0.997737,4,813.891654
-0.993616,6,815.483284
-0.995835,4,816.574671
-0.998418,2,817.106222
-0.997851,3,817.928876
-0.993266,6,819.540418
-0.995084,5,820.885269
-0.997725,4,821.994566
-0.998423,4,823.084478
-0.994827,6,824.733029
-1.0,1,825.001213
-1.0,1,825.276943
-0.992938,14,829.008337
-1.0,1,829.270618
-0.998413,3,830.078652
-0.992969,6,831.706415
-0.99473,5,833.244478
-0.999047,4,834.469992
-0.99406,6,836.294753
-0.994757,5,837.848253
-0.992859,6,839.629106
-0.997908,4,840.843852
-0.99854,2,841.464314
-1.0,1,841.763086
-0.99775,3,842.611458
-1.0,1,842.875551
-1.0,1,843.165571
-0.99622,4,844.249144
-0.999043,3,845.067058
-0.992145,7,846.973448
-0.998607,3,847.790533
-0.996611,5,849.110535
-0.98762,10,851.789505
-0.997831,3,852.619631
-0.993493,7,854.484718
-1.0,1,854.761093
-0.997031,4,855.850052
-1.0,1,856.131462
-0.995403,6,857.691306
-0.996336,6,859.294516
-0.996131,5,860.680423
-0.995446,5,862.03276
-0.997315,3,862.834346
-0.992911,6,864.431678
-0.998083,3,865.254125
-0.997126,3,866.059777
-0.987854,11,869.04659
-0.995985,4,870.13784
-0.993515,6,871.729249
-0.993557,7,873.628652
-0.996031,4,874.717452
-0.997486,3,875.543311
-0.997296,3,876.345193
-0.998283,4,877.434192
-0.997153,3,878.216858
-0.988407,10,880.879608
-1.0,1,881.173102
-0.999034,2,881.720217
-0.994944,5,883.02579
-0.998406,2,883.555202
-0.998531,2,884.077041
-0.998948,3,884.896272
-0.993401,6,886.515667
-0.999044,2,887.062146
-0.997111,3,887.885865
-0.997076,3,888.690446
-1.0,1,888.956482
-0.994443,7,890.824384
-0.995202,5,892.171988
-0.994361,6,893.750879
-0.996007,4,894.823417
-0.985259,12,898.062443
-0.997161,4,899.098351
-0.998506,3,899.918625
-0.998238,3,900.734342
-0.995599,5,902.08935
-0.99735,4,903.195285
-0.991034,8,905.451225
-1.0,1,905.785136
-0.988469,12,909.043793
-0.992182,7,910.916184
-0.993157,7,912.882377
-0.997565,3,913.716904
-0.99482,5,915.062923
-0.997286,3,915.862787
-1.0,1,916.148952
-0.995619,5,917.730583
-1.0,1,918.032187
-0.992237,7,919.916418
-0.997523,3,920.748884
-1.0,1,921.030636
-0.994613,5,922.38612
-1.0,1,922.682367
-0.997324,4,923.746456
-0.997139,4,924.838431
-0.998442,2,925.387963
-0.988768,9,927.813251
-0.998826,3,928.643665
-0.990588,9,931.033645
-0.998998,2,931.57274
-0.990155,8,933.765466
-0.997643,3,934.566635
-0.997348,3,935.375541
-0.992151,8,937.49948
-1.0,1,937.785018
-0.996219,4,938.861243
-0.992212,7,940.759917
-0.992501,7,942.641456
-1.0,1,942.917911
-1.0,1,943.201225
-1.0,1,943.4646
-0.998629,3,944.281448
-0.99734,4,945.366342
-0.997682,4,946.445072
-1.0,1,946.716086
-0.991192,7,948.60217
-0.994057,5,949.94521
-1.0,1,950.217122
-0.998523,2,950.757212
-0.996586,4,951.841369
-0.985631,12,955.04003
-0.998315,4,956.138533
-1.0,1,956.407523
-0.993486,6,958.013911
-0.998497,3,958.839828
-0.997173,4,959.896506
-0.998482,4,960.971576
-0.998917,2,961.505919
-0.99442,5,962.885538
-0.996117,5,964.265592
-0.996656,4,965.302194
-0.99891,2,965.839369
-0.99836,3,966.681718
-0.99431,5,968.148196
-1.0,1,968.445089
-0.996956,4,969.571804
-0.995693,5,970.964091
-0.997472,3,971.778274
-0.998534,2,972.313365
-0.991207,8,974.463946
-0.999028,20,979.850611
-0.997666,3,980.668023
-0.994929,5,982.008924
-0.998555,2,982.561755
-1.0,1,982.84877
-0.997031,3,983.664986
-1.0,1,983.942314
-0.997732,4,985.026589
-0.992833,6,986.619651
-1.0,1,986.898639
-1.0,1,987.190983
-1.0,1,987.484449
-0.996077,4,988.529478
-0.996179,4,989.64418
-0.992449,7,991.472158
-0.991658,7,993.356613
-0.995896,5,994.704343
-0.996072,4,995.813886
-0.998431,2,996.359093
-0.999039,3,997.164444
-0.998448,2,997.716613
-0.99797,3,998.549679
-1.0,1,998.818519
-0.999047,2,999.35716
-0.997234,4,1000.448612
-0.992938,7,1002.315844
-0.986774,12,1005.532017
-0.994519,5,1006.864886
-0.990141,8,1009.019722
-0.997186,3,1009.837301
-0.993238,6,1011.461402
-0.995062,5,1012.777252
-0.998533,2,1013.315776
-0.997182,3,1014.116449
-0.999022,2,1014.665586
-0.998148,3,1015.477786
-0.997263,4,1016.545737
-0.997376,4,1017.641306
-0.998524,2,1018.181352
-0.996871,5,1019.53735
-1.0,1,1019.811702
-0.990516,8,1021.953573
-0.99581,5,1023.283131
-1.0,1,1023.563846
-0.99848,2,1024.116423
-0.996815,3,1024.914642
-0.997412,3,1025.744529
-0.994718,5,1027.092508
-0.995731,6,1028.711317
-1.0,1,1028.974839
-0.993268,7,1030.886708
-0.99672,4,1031.951267
-0.998449,2,1032.480656
-0.992367,8,1034.964885
-0.99684,3,1035.771578
-1.0,1,1036.063681
-0.999047,2,1036.601744
-1.0,1,1036.888885
